Country_Code,Year,Traffic_Deaths,Population,GDP_Per_Capita,Alcohol_Per_Capita,Death_Rate_Per_100k
ISL,2008,14,317414.0,57489.3399795216,7.82,4.41064351288853
ISL,2009,14,318499.0,41483.7843682814,7.58,4.395618196603443
ISL,2010,13,318041.0,43776.4677400475,7.47,4.08752330674347
ISL,2011,12,319014.0,48254.953927254,7.34,3.7615904004212983
ISL,2012,12,320716.0,46594.9869146614,7.33,3.7416281071103406
ISL,2013,12,323764.0,50173.3360061057,7.38,3.70640342965864
ISL,2014,11,327386.0,55140.364935793,7.64,3.359948195707819
ISL,2015,11,330815.0,53505.6964079339,7.85,3.3251212913561963
ISL,2016,11,335439.0,62854.0906407932,8.07,3.279284758182561
ISL,2017,11,343400.0,72976.3729990975,8.08,3.20326150262085
ISL,2018,11,352721.0,75633.8651351915,8.07,3.118612160886366
ISL,2019,11,360563.0,69296.3144361601,8.07,3.050784467624243
IND,2000,169328,1057922733.0,442.750218937263,1.97,16.005705777758347
IND,2001,170530,1077898575.0,450.357900514128,1.97,15.820597963031911
IND,2002,169552,1097600380.0,469.149928973927,2.11,15.447516517805871
IND,2003,166483,1116803006.0,544.143133545002,2.21,14.907105291226268
IND,2004,168375,1135991513.0,624.258826510066,2.29,14.82185369108475
IND,2005,175739,1154676322.0,710.488080408949,2.39,15.219763032431873
IND,2006,183540,1172878890.0,801.668353659022,2.6,15.648674519156875
IND,2007,190881,1190676021.0,1021.88707706826,2.95,16.031313021630087
IND,2008,199985,1207930964.0,992.519584923828,3.53,16.555995827589367
IND,2009,202133,1225524753.0,1094.94974598436,4.11,16.493587706424726
IND,2010,207140,1243481564.0,1347.51939071367,4.62,16.65806763822676
IND,2011,213755,1261224954.0,1445.46127486037,4.89,16.94820573618305
IND,2012,218869,1278674502.0,1429.32199520032,5.02,17.116865915263244
IND,2013,213635,1295829511.0,1432.84397512195,5.04,16.486350880767986
IND,2014,204750,1312277191.0,1553.88396075118,5.02,15.602648693754519
IND,2015,201060,1328024498.0,1583.99815907985,4.96,15.139780953046845
IND,2016,199234,1343944296.0,1707.50892912243,4.87,14.824572758929287
